passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,pickup,dropoff
9,1.616665,59.0700016021729,160.5,10.1300001144409,186.509998321533,3,MN99,QN57
5,0.326943,7.5699999332428,26.5,0,28,2,BX22,BX01
15,2.025551,53.2099990844727,168.5,0,185.379999160767,9,QN25,QN49
11,4.200552,110.700001239777,353.5,14.9300003051758,403.590000152588,8,QN55,MN03
62,26.955822,643.899996519089,1978.5,83.6899995803833,2215.46002197266,33,MN14,QN33
2,0.699999,22.5,64,0,65,2,QN33,QN17
4,2.770554,11.0600000619888,41,0,44,3,BK75,QN96
1,0.442222,13.3000001907349,38.5,0,51.3499984741211,1,MN30,QN01
7,1.812220,27.2699999809265,100,0,115.799999237061,5,BK63,BK46
2,0.551111,8,2.5,0,3,1,QN23,MN36
5,1.786387,51.1700001358986,151.5,0,164.5,5,BX28,MN20
1,0.183333,6.01999998092651,18,0,19,1,QN56,QN30
4546,1694.905671,48482.3099900484,133535.5,12848.9699249268,160389.713078499,2605,JFK,MN06
2,0.866110,18.1399998664856,58,0,59.5,2,BK28,BK35
5,1.316666,26.7999992370605,79,0,79.5,1,BK25,QN38
99,13.103311,215.489999771118,803,0,904.800000190735,47,BK42,BK98
77,19.148598,580.340001583099,1653.16999816895,25.5900001525879,1767.11999893188,38,BK68,BX09
78,15.430822,294.240000963211,958,0,1105.70000267029,37,QN72,BK89
24,9.786384,106.620000272989,324,10.6599998474121,348.660003662109,14,QN66,JFK
2,1.432500,35.8700008392334,110,0,117,2,QN57,BK88
15,2.221387,56.4599990844727,169,21.3199996948242,204.2200050354,5,BX63,QN30
4858,1586.976978,34889.5499909073,110320,7585.18994796276,130132.65161705,2793,MN17,QN54
1075,232.736125,5095.53000491858,16875,111.56999874115,18839.5500183105,652,QN31,QN60
199,83.892728,1734.48999738693,5450,51.710000038147,6172.31999969482,116,MN04,BK61
4,1.733331,33.1899996995926,113,5.32999992370605,122.330001831055,4,BX44,MN19
36,8.909437,210.170001029968,645.5,10.6599998474121,741.559997558594,19,BX39,BK90
6,2.377776,85.1400012969971,233.5,0,252.300003051758,4,BK32,QN47
452,86.646839,1231.85999912024,4686,0,5238.1699962616,267,BK68,BK91
62,17.909155,417.199998378754,1201,0,1336.10000228882,28,QN01,BK73
7,1.316666,26.8600001335144,82.5,0,94,2,LI,BK33
452,35.247940,477.810001045465,2262.5,0,2569.99999952316,286,QN30,QN63
186,14.346062,231.299999773502,971.5,4,1145.06999874115,110,QN21,QN19
25,5.412214,84.6900002062321,359.5,0,395.14999961853,21,BK42,BK26
2,0.990833,18.6000003814697,64,5.32999992370605,71.8300018310547,2,NYS,QN28
20,1.307219,23.9199998378754,91,0,100.699999809265,8,BX62,BX05
5,0.566666,25.7700004577637,67.5,5.32999992370605,80.8300018310547,1,BK82,BX27
1764,222.910444,3988.67999976873,14740,7.08000016212463,16842.3500165939,998,MN04,MN01
15025,2348.338478,35810.3600113317,137465.5,1006.55999279022,159010.140156746,8994,QN31,MN32
15538,2707.205983,53032.0899828151,177555.5,17043.7698984146,222700.660068035,9017,MN32,QN72
